Subject,Interpolated_Chans,Number_Overlapping_Epochs,Removed_ICs,Excluded_Subjects
sub-010002,0,1549,12,sub-010092
sub-010003,1,753,8,sub-010267
sub-010004,0,789,15,sub-010271
sub-010005,0,865,3,
sub-010006,0,769,16,
sub-010007,2,989,8,
sub-010010,1,1125,5,
sub-010012,0,473,5,
sub-010015,1,233,23,
sub-010016,1,1481,6,
sub-010017,0,1549,3,
sub-010019,3,1509,8,
sub-010020,3,1389,9,
sub-010021,0,1137,8,
sub-010022,2,1613,15,
sub-010023,2,1317,8,
sub-010024,0,533,7,
sub-010026,0,1013,22,
sub-010027,3,1633,3,
sub-010028,0,1289,7,
sub-010029,0,673,8,
sub-010030,2,949,10,
sub-010031,1,929,4,
sub-010032,2,1517,11,
sub-010033,0,1581,4,
sub-010034,3,1537,8,
sub-010035,0,721,9,
sub-010036,4,1005,11,
sub-010037,2,1489,14,
sub-010038,1,1153,9,
sub-010039,0,1345,12,
sub-010040,0,1593,4,
sub-010041,7,885,9,
sub-010042,6,1033,11,
sub-010044,3,381,11,
sub-010045,1,1521,12,
sub-010046,0,1353,10,
sub-010047,1,1009,10,
sub-010048,0,1301,10,
sub-010049,3,1425,12,
sub-010050,5,785,7,
sub-010051,1,993,9,
sub-010052,1,1393,4,
sub-010053,1,1553,12,
sub-010056,2,1333,9,
sub-010059,6,1353,5,
sub-010060,0,697,10,
sub-010061,1,1561,8,
sub-010062,1,1045,5,
sub-010063,0,809,7,
sub-010064,1,801,8,
sub-010065,1,1237,8,
sub-010066,0,989,11,
sub-010067,3,1549,6,
sub-010068,0,765,11,
sub-010069,5,973,9,
sub-010070,2,781,8,
sub-010071,1,517,8,
sub-010072,1,1745,9,
sub-010073,1,1741,11,
sub-010074,1,705,10,
sub-010075,1,829,7,
sub-010076,4,521,5,
sub-010077,5,553,11,
sub-010078,0,1045,9,
sub-010079,2,1001,8,
sub-010080,1,745,9,
sub-010081,0,1277,6,
sub-010083,0,1553,5,
sub-010084,0,1413,6,
sub-010085,2,1393,9,
sub-010086,6,169,4,
sub-010087,2,821,11,
sub-010088,2,1269,16,
sub-010089,1,1029,10,
sub-010090,2,1753,12,
sub-010091,0,1309,14,
sub-010093,6,1397,9,
sub-010094,4,729,10,
sub-010100,0,505,11,
sub-010104,3,1689,10,
sub-010126,1,657,4,
sub-010134,0,1129,9,
sub-010136,0,1429,12,
sub-010137,0,441,12,
sub-010138,0,509,10,
sub-010141,0,925,17,
sub-010142,0,1245,12,
sub-010146,1,1049,11,
sub-010148,2,1049,8,
sub-010150,1,1421,7,
sub-010152,0,993,7,
sub-010155,3,725,8,
sub-010157,2,1013,5,
sub-010162,0,1217,4,
sub-010163,7,1457,10,
sub-010164,0,1045,11,
sub-010165,1,1561,11,
sub-010166,6,1533,13,
sub-010168,4,1049,15,
sub-010170,1,1621,4,
sub-010176,0,1333,6,
sub-010183,0,1541,2,
sub-010191,2,309,10,
sub-010192,2,1521,10,
sub-010193,0,1425,5,
sub-010194,1,1049,10,
sub-010195,1,1349,12,
sub-010196,4,985,12,
sub-010197,0,1605,11,
sub-010199,0,1057,21,
sub-010200,1,689,6,
sub-010201,2,1209,10,
sub-010202,4,593,10,
sub-010204,1,1197,15,
sub-010207,2,1597,5,
sub-010210,3,1137,11,
sub-010213,0,1233,7,
sub-010214,0,1025,7,
sub-010215,5,1121,10,
sub-010216,1,1457,12,
sub-010218,1,1173,8,
sub-010219,4,1449,12,
sub-010220,1,513,11,
sub-010222,1,1137,16,
sub-010223,3,1705,7,
sub-010224,3,809,9,
sub-010226,3,925,13,
sub-010227,0,681,11,
sub-010228,1,1337,10,
sub-010230,1,1573,9,
sub-010231,3,917,8,
sub-010232,6,1017,18,
sub-010233,2,1485,8,
sub-010234,1,1241,7,
sub-010236,1,1261,7,
sub-010238,0,1341,11,
sub-010239,0,797,18,
sub-010240,2,1257,8,
sub-010241,3,1393,7,
sub-010242,0,1765,10,
sub-010243,0,1029,10,
sub-010244,2,1389,7,
sub-010245,0,833,17,
sub-010246,1,1505,9,
sub-010247,0,497,14,
sub-010248,1,1153,6,
sub-010249,4,789,7,
sub-010250,1,1029,9,
sub-010251,1,1489,12,
sub-010252,0,1153,8,
sub-010254,3,881,7,
sub-010255,5,1229,7,
sub-010256,0,1261,6,
sub-010257,4,1173,14,
sub-010258,2,789,15,
sub-010260,1,557,8,
sub-010261,3,1545,13,
sub-010262,1,833,8,
sub-010263,1,729,7,
sub-010264,2,1345,14,
sub-010265,1,1429,7,
sub-010266,4,1365,10,
sub-010268,2,1145,6,
sub-010269,0,1257,5,
sub-010270,5,1481,7,
sub-010272,2,881,18,
sub-010273,1,629,11,
sub-010274,1,1185,18,
sub-010275,2,1185,9,
sub-010276,2,1081,13,
sub-010277,1,1677,13,
sub-010278,0,1077,12,
sub-010279,0,1121,11,
sub-010280,3,1009,8,
sub-010282,4,365,17,
sub-010283,1,1517,9,
sub-010284,3,1181,4,
sub-010286,0,1189,17,
sub-010287,3,697,9,
sub-010288,2,1473,9,
sub-010289,1,1173,17,
sub-010290,1,941,18,
sub-010291,4,1361,13,
sub-010292,2,345,5,
sub-010294,0,1253,22,
sub-010295,0,1437,4,
sub-010296,0,1221,9,
sub-010297,3,1729,5,
sub-010298,1,1281,14,
sub-010299,2,1485,9,
sub-010300,7,441,4,
sub-010301,5,1625,7,
sub-010302,3,1329,15,
sub-010303,1,341,15,
sub-010304,0,753,7,
sub-010305,3,681,1,
sub-010306,2,913,9,
sub-010307,1,1561,9,
sub-010308,0,1009,9,
sub-010309,0,445,16,
sub-010310,1,1149,8,
sub-010311,0,1137,11,
sub-010314,2,1037,9,
sub-010315,3,1013,5,
sub-010316,2,1429,9,
sub-010317,2,1185,7,
sub-010318,1,1345,5,
sub-010319,2,1733,10,
sub-010321,0,569,4,
